2025-11-17 23:49:35,926 | INFO     | auto_trader.storage.address_repo | Updated timestamp for address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 (old=2025-11-17T15:49:32.444630+00:00 new=2025-11-17T15:49:35.916013+00:00)
2025-11-17 23:49:35,926 | INFO     | auto_trader.wechat_ocr_listener | Captured address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 at 2025-11-17T15:49:35.916013+00:00 but suppressed trade
2025-11-17 23:49:36,850 | INFO     | auto_trader.wechat_ocr_listener | OCR scan detected 1 candidate(s); latest=0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444
2025-11-17 23:49:36,858 | INFO     | auto_trader.storage.address_repo | Updated timestamp for address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 (old=2025-11-17T15:49:35.916013+00:00 new=2025-11-17T15:49:36.850067+00:00)
2025-11-17 23:49:36,858 | INFO     | auto_trader.wechat_ocr_listener | Captured address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 at 2025-11-17T15:49:36.850067+00:00 but suppressed trade
2025-11-17 23:49:38,965 | INFO     | auto_trader.wechat_ocr_listener | OCR scan detected 1 candidate(s); latest=0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444
2025-11-17 23:49:38,975 | INFO     | auto_trader.storage.address_repo | Updated timestamp for address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 (old=2025-11-17T15:49:36.850067+00:00 new=2025-11-17T15:49:38.965537+00:00)
2025-11-17 23:49:38,975 | INFO     | auto_trader.wechat_ocr_listener | Captured address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 at 2025-11-17T15:49:38.965537+00:00 but suppressed trade
2025-11-17 23:49:41,535 | INFO     | auto_trader.wechat_ocr_listener | OCR scan detected 1 candidate(s); latest=0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444
2025-11-17 23:49:41,580 | INFO     | auto_trader.storage.address_repo | Updated timestamp for address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 (old=2025-11-17T15:49:38.965537+00:00 new=2025-11-17T15:49:41.533941+00:00)
